Broker,Rater,Industry
 Main Office & Laboratory ,Offices,Offices
 Maintenance,Machinery Manufacturing,Light Industry
 Mixed-Use LRO (Apartments & Warehouse),General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
 Office,Offices,Offices
 Office & Machine Shop - Lessor's Risk Only,Offices,Offices
 Office (Bldg 16),Offices,Offices
 Office/Warehouse ,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
 Parking lot & Office Room Building,Parking Garages,Light Industry
 Satellite Office & Laboratory ,Offices,Offices
 Waste Solidfication Plant & Drum Handling & Storage (includes waste processing equipment),Miscellaneous Waste Management,Heavy Industry
 Waste Treatment Facility,Miscellaneous Waste Management,Heavy Industry
 Water Treatment & Lab,Water & Sewage Treatment Facilities,Utilities
(1) Single Modular Classroom,Schools,Education
(2) Single Modular Classroom Bldgs,Schools,Education
(3) Double Classroom Bldgs Mods (leased),Schools,Education
(3) Single Modular Classroom Bldgs,Schools,Education
(4) Single Modular Classroom Bldgs,Schools,Education
(6) Single Modular Classrooms,Schools,Education
01-Dwelling - 1 family,Single Family Dwellings,Habitational
02-Dwelling-Multi-Family,Mid Rise Apartments - 5-9 stories,Habitational
"03-Temp Lodging (Motel, etc)",Motels,Hotels/Casino/Entertainment
04-Group Housing,Single Family Dwellings,Habitational
0512Auto Parts Dist & Repair,Auto Repair Shop Garage,Retail
05-Retail Trades,Miscellaneous Retailers,Retail
06-Wholesale Trades,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
07-Repair and Services,Auto Repair Shop Garage,Retail
08-Offices,Offices,Offices
09-Health Care Services,Home Health Care Service,Health Services
0FFICE,Offices,Offices
1 (Office Levels),Offices,Offices
1 APT AND MERC,Mid Rise Apartments - 5-9 stories,Habitational
1 Apt Rented,Mid Rise Apartments - 5-9 stories,Habitational
1 APT/MERC,Mid Rise Apartments - 5-9 stories,Habitational
1 Building for 2 purposes -CD&E Precious Metals Refining Business & Truck Garage and Maintenance,Metal Product Manufacturing,Light Industry
1 CONDO,Mid Rise Condos - 5-9 stories,Habitational
1 Condo Unit,Mid Rise Condos - 5-9 stories,Habitational
1 FAM DWELLING,Single Family Dwellings,Habitational
1 FAM- DWELLING,Single Family Dwellings,Habitational
1 FAMILY,Single Family Dwellings,Habitational
1 family dwelling,Single Family Dwellings,Habitational
1 Family Dwellings (Lessor's Risk),Single Family Dwellings,Habitational
1 FAMILY HOUSE,Single Family Dwellings,Habitational
1 FAMILY VACANT HOME,Mid Rise Apartments - 5-9 stories,Habitational
1 FMAM DWELLING,Single Family Dwellings,Habitational
1 RESTAURANT & 2 UNITS,Restaurants - Not Fast Food,Retail
1 Story,Mid Rise Apartments - 5-9 stories,Habitational
1 UNIT & RESTAURANT,Restaurants - Not Fast Food,Retail
1 UNIT APT,Mid Rise Apartments - 5-9 stories,Habitational
10 Aircraft T Hangar,Other Support Facilities For Air Transportation,Transportation
10 Classroom Addition,Schools,Education
10 Classroom Wing,Schools,Education
10 UNIT APARTMENT BUILDING,Mid Rise Apartments - 5-9 stories,Habitational
10 UNIT APT,Mid Rise Apartments - 5-9 stories,Habitational
"100,000 Gallon steel above ground water reservior",Water Supply and Irrigation Systems,Utilities
"100,000 gallon steel water reservoir ...above ground",Water Supply and Irrigation Systems,Utilities
"104,000 gallon water reservoir- above ground",Water Supply and Irrigation Systems,Utilities
"1052: Schools, Academic (including Day Care - Youth & Adult)",Schools,Education
"1070: Cemeteries - except private dwellings and mausoleums; Tanks - Sewage and Water Treatment; Fire Dept, Police...",Water & Sewage Treatment Facilities,Utilities
"108,724 gallon water reservoir above ground steel tank",Water Supply and Irrigation Systems,Utilities
"10-Entertainment, Recreation Restaurant",Restaurants - Not Fast Food,Retail
11 UNIT APT,Mid Rise Apartments - 5-9 stories,Habitational
11/3/17 - location name change office marketing,Offices,Offices
11-Parking (Garages),Parking Garages,Light Industry
11-UNIT APT,Mid Rise Apartments - 5-9 stories,Habitational
12 Classroom Addition,Schools,Education
"12 Soundstages, 6 Office Bldgs., 1 Parking Garage, 1 Screening/ Cafeteria Bldg., Stage & Equip Rental Facility",Parking Garages,Light Industry
12 Unit Apartment Bldg,Mid Rise Apartments - 5-9 stories,Habitational
12 UNIT APARTMENT BUILDING,Mid Rise Apartments - 5-9 stories,Habitational
12 UNIT APT,Mid Rise Apartments - 5-9 stories,Habitational
120' Steel Tower to support Communications Equipment,Telecoms - Transmission Towers,Communications
12-Manufacturing-Heavy,Machinery Manufacturing,Light Industry
13 Apartment and 1 commercial,Mid Rise Apartments - 5-9 stories,Habitational
13 UNIT APT,Mid Rise Apartments - 5-9 stories,Habitational
13 UNIT APTS,Mid Rise Apartments - 5-9 stories,Habitational
13-Manufacturing-Light,Machinery Manufacturing,Light Industry
14 Double Classroom Modular Bldgs.,Schools,Education
14 X 40 STORAGE BUILDING AT SARA BABB PARK,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
14-Food Processing,Processed Food Manufacturing - Non-Frozen,Food
14x60 MOBILE CLASSROOM,Schools,Education
"150,000 gallon steel water tank above ground",Water Supply and Irrigation Systems,Utilities
155 WEST BRENTWOOD STORMWATER IMPROVEMENTS IV,Water Supply and Irrigation Systems,Utilities
16 Bed Residence,Mid Rise Apartments - 5-9 stories,Habitational
16 Temp Portable Classrooms**,Schools,Education
16 UNIT APARTMENT,Mid Rise Apartments - 5-9 stories,Habitational
16-Metal Processing,Metal Product Manufacturing,Light Industry
17-Tech Businesses,Telecoms - Transmission Towers,Communications
18-Construction,Construction Contractors,Light Industry
"19 modular classroom, admin buildings and associated walkways",Schools,Education
19 Unit Apartments,Mid Rise Apartments - 5-9 stories,Habitational
196: 1 Family Dwellings (Lessor's Risk),Single Family Dwellings,Habitational
1-FAM DWELLING,Single Family Dwellings,Habitational
1-FAM LRO,Single Family Dwellings,Habitational
1-Family Dwelling-LRO,Single Family Dwellings,Habitational
1-Family Owner Occupied,Single Family Dwellings,Habitational
1ST FLOOR REST. 2ND FLOOR RESIDENCE,Mid Rise Apartments - 5-9 stories,Habitational
1ST FLOOR RETAIL BASEMENT OFFICE,Offices,Offices
1ST FLOOR SHOP 2ND FLOOR OFFICE,Offices,Offices
2 (Parking Structure),Parking Garages,Light Industry
2 APARTMENTS,Mid Rise Apartments - 5-9 stories,Habitational
2 APARTMENTS & BAKERY,Mid Rise Apartments - 5-9 stories,Habitational
2 APARTMENTS &BAKERY,Mid Rise Apartments - 5-9 stories,Habitational
2 APT OFFICE,Mid Rise Apartments - 5-9 stories,Habitational
2 APT UNIT,Mid Rise Apartments - 5-9 stories,Habitational
2 APTS AND MERC,Mid Rise Apartments - 5-9 stories,Habitational
2 BDRM APT WITH SHOP,Mid Rise Apartments - 5-9 stories,Habitational
2 Commercial Tenants / 1 Plumber / 1 Storage Ware house,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
2 Concession Stands - Football,Fitness and Recreational Sports Centers,Hotels/Casino/Entertainment
2 -Concessions / Pressbox (Baseball & Softball),Fitness and Recreational Sports Centers,Hotels/Casino/Entertainment
2 CONDOS,Mid Rise Condos - 5-9 stories,Habitational
2 Day Festival & Parade,Amusement and Theme Parks,Hotels/Casino/Entertainment
2 Double Classroom Modular Bldgs**,Schools,Education
2 Dwellings under renovations,Single Family Dwellings,Habitational
2 Fam,Mid Rise Apartments - 5-9 stories,Habitational
2 FAM DWELLING,Mid Rise Apartments - 5-9 stories,Habitational
2 FAM- DWELLING,Mid Rise Apartments - 5-9 stories,Habitational
2 FAM DWELLINGS,Mid Rise Apartments - 5-9 stories,Habitational
2 FAMILY,Mid Rise Apartments - 5-9 stories,Habitational
2 FAMILY BRICK BUILDING,Single Family Dwellings,Habitational
2 family dwelling,Mid Rise Apartments - 5-9 stories,Habitational
2 Family Dwellings (Lessor's Risk),Mid Rise Apartments - 5-9 stories,Habitational
2 family frame tenant occupied,Mid Rise Apartments - 5-9 stories,Habitational
2 FAMILY HOUSE,Mid Rise Apartments - 5-9 stories,Habitational
2 FAMILY RENTAL,Mid Rise Apartments - 5-9 stories,Habitational
"2 Leased Condo units
",Mid Rise Condos - 5-9 stories,Habitational
2 Story,Mid Rise Apartments - 5-9 stories,Habitational
2 Story Classroom Addition,Schools,Education
2 STORY DWELLING,Single Family Dwellings,Habitational
2 STORY DWELLING WITH 2 RESIDENTIAL UNITS,Mid Rise Apartments - 5-9 stories,Habitational
2 STORY FRAME DWELLINGS,Single Family Dwellings,Habitational
2 Suite Office Building,Offices,Offices
2 UNIT APT BLDG,Mid Rise Apartments - 5-9 stories,Habitational
2 UNIT RESIDENTAIL,Mid Rise Apartments - 5-9 stories,Habitational
2 UNIT RESIDENTIAL,Mid Rise Apartments - 5-9 stories,Habitational
2 Units and a Restaurant,Restaurants - Not Fast Food,Retail
20 APARTMENTS,Mid Rise Apartments - 5-9 stories,Habitational
"200,000 gallon steel water tank above ground",Water Supply and Irrigation Systems,Utilities
2005 Drum and Container Storage Building  Inc. Tanks,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
20-Agribusiness,Livestock Farming,Agriculture/Farming
2100 CASTLE LAKE COURT STORMWATER IMPROVEMENTS IV,Water Supply and Irrigation Systems,Utilities
"215 S Main Street
Fort Worth, TX 76104
Accounting Office",Offices,Offices
22-Religious Organization,"Church, Mosque or Synagogue",Religious/Churches
23-General Services Social Services,Governmental Office & Administration,Govermental/Municipal
24 HOUR GAS STATION WITH CONVENIENCE STORE,Gas Petrol Stations,Retail
"25,000 gallon redwood water reservoir-above ground",Water Supply and Irrigation Systems,Utilities
25-Educational,Schools,Education
269 & 317 FARR ROAD STORMWATER IMPROVEMENTS IV,Water Supply and Irrigation Systems,Utilities
2-FAM & STORAGE,Mid Rise Apartments - 5-9 stories,Habitational
2-FAM DWELLING,Mid Rise Apartments - 5-9 stories,Habitational
2-FAMILY DWELLING LRO,Mid Rise Apartments - 5-9 stories,Habitational
2-Family Dwelling-LRO,Single Family Dwellings,Habitational
2FAMT,Mid Rise Apartments - 5-9 stories,Habitational
2nd Avenue Water Tank,Water Supply and Irrigation Systems,Utilities
2-Unit Residential,Mid Rise Apartments - 5-9 stories,Habitational
3 APARTMENTS & 1 BARBER SHOP,Mid Rise Apartments - 5-9 stories,Habitational
3 APARTMENTS &1 BARBER SHOP,Mid Rise Apartments - 5-9 stories,Habitational
3 Condo Units,Mid Rise Condos - 5-9 stories,Habitational
3 Fam,Mid Rise Apartments - 5-9 stories,Habitational
3 FAM - LRO,Mid Rise Apartments - 5-9 stories,Habitational
3 FAM APT,Mid Rise Apartments - 5-9 stories,Habitational
3 FAM DWELLING,Mid Rise Apartments - 5-9 stories,Habitational
3 FAM DWELLINGS,Mid Rise Apartments - 5-9 stories,Habitational
3 FAMILY,Mid Rise Apartments - 5-9 stories,Habitational
3 FAMILY APARTMENT HOUSE,Mid Rise Apartments - 5-9 stories,Habitational
3 FAMILY DWELLING,Mid Rise Apartments - 5-9 stories,Habitational
3 FAMILY DWELLING LRO,Mid Rise Apartments - 5-9 stories,Habitational
3 FAMILY FRAME DWELLING,Mid Rise Apartments - 5-9 stories,Habitational
3 FAMILY HOME,Mid Rise Apartments - 5-9 stories,Habitational
3 FAMILY LRO,Mid Rise Apartments - 5-9 stories,Habitational
3 Mobile Offices,Offices,Offices
3 or 4 Family Dwellings (Lessor's Risk),Mid Rise Apartments - 5-9 stories,Habitational
3 Story Brick Bldg Occupied by tattoo parlor,Miscellaneous Retailers,Retail
3 UNIT CONDO,Mid Rise Condos - 5-9 stories,Habitational
3 UNIT DWELLING,Mid Rise Apartments - 5-9 stories,Habitational
3 UNITS APARTMENT,Mid Rise Apartments - 5-9 stories,Habitational
"30,000 Gallon Water Tank",Water Supply and Irrigation Systems,Utilities
311: Apartments without Mercantile Occupancies - Up to 10 Units,Mid Rise Apartments - 5-9 stories,Habitational
"37,582 gallons water reservoir above ground",Water Supply and Irrigation Systems,Utilities
39-Miscellaneous,Unknown,Unknown
3-FAM DWELLING,Mid Rise Apartments - 5-9 stories,Habitational
3-FAMILY DWELLING LRO,Mid Rise Apartments - 5-9 stories,Habitational
3-Family Dwelling-LRO,Single Family Dwellings,Habitational
3-FAMILY HOUSE,Mid Rise Apartments - 5-9 stories,Habitational
4 APARTMENTS,Mid Rise Apartments - 5-9 stories,Habitational
4 APARTMENTS LOUNGE & CATERING HALL,Mid Rise Apartments - 5-9 stories,Habitational
4 APARTMENTS W/BAR/LOUNGE,Mid Rise Apartments - 5-9 stories,Habitational
4 APARTMENTSW/BAR/LOUNGE,Mid Rise Apartments - 5-9 stories,Habitational
4 APT,Mid Rise Apartments - 5-9 stories,Habitational
4 APTS,Mid Rise Apartments - 5-9 stories,Habitational
4 Classroom Addition,Schools,Education
4 CONDO UNIT,Mid Rise Condos - 5-9 stories,Habitational
4 CONTAINER STORAGE,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
4 DWELLING,Mid Rise Apartments - 5-9 stories,Habitational
4 Fam,Mid Rise Apartments - 5-9 stories,Habitational
4 FAM APARTMENT,Mid Rise Apartments - 5-9 stories,Habitational
4 FAM DWELLING,Mid Rise Apartments - 5-9 stories,Habitational
4 FAMILY,Single Family Dwellings,Habitational
4 FAMILY DWELLI,Single Family Dwellings,Habitational
4 family dwelling,Mid Rise Apartments - 5-9 stories,Habitational
4 FAMILY RENTED,Mid Rise Apartments - 5-9 stories,Habitational
"4 Inmate housing,(cells)",Correctional Institutions and Prisons,Govermental/Municipal
4 New Classrooms,Schools,Education
4 Storage Units,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
4 Story,Mid Rise Apartments - 5-9 stories,Habitational
4 STORY BUILDING WITH 6 RESIDENTIAL UNITS AND 1 MERC,Mid Rise Apartments - 5-9 stories,Habitational
4 STORY BUILDING WITH6 RESIDENTIAL UNITSAND 1 MERC,Mid Rise Apartments - 5-9 stories,Habitational
4 unit apt bldg,Mid Rise Apartments - 5-9 stories,Habitational
4 UNIT CONDO,Mid Rise Condos - 5-9 stories,Habitational
43 Unit Apartment/Retail,Mid Rise Apartments - 5-9 stories,Habitational
44th Ave Pump Station,Water Supply and Irrigation Systems,Utilities
4-Fam,Mid Rise Apartments - 5-9 stories,Habitational
4-FAM DWELLING,Single Family Dwellings,Habitational
4-FAMILY DWELLING,Mid Rise Apartments - 5-9 stories,Habitational
4-FAMILY DWELLING LRO,Mid Rise Apartments - 5-9 stories,Habitational
4-FAMILY DWELLINGLRO,Mid Rise Apartments - 5-9 stories,Habitational
4-Family Dwelling-LRO,Single Family Dwellings,Habitational
5 – UNIT RENTAL APARTMENT,Mid Rise Apartments - 5-9 stories,Habitational
5 APARTMENT,Mid Rise Apartments - 5-9 stories,Habitational
5 APARTMENTS,Mid Rise Apartments - 5-9 stories,Habitational
5 APT & 1 STORE,Mid Rise Apartments - 5-9 stories,Habitational
5 APT & MERC,Mid Rise Apartments - 5-9 stories,Habitational
5 Apts Rented,Mid Rise Apartments - 5-9 stories,Habitational
5 Batting Cages,Fitness and Recreational Sports Centers,Hotels/Casino/Entertainment
5 FAM DWELLING,Mid Rise Apartments - 5-9 stories,Habitational
5 Mobile Homes (models),Single Family Dwellings,Habitational
5 UNIT APART,Mid Rise Apartments - 5-9 stories,Habitational
5 Unit Apartment,Mid Rise Apartments - 5-9 stories,Habitational
5 UNIT APT,Mid Rise Apartments - 5-9 stories,Habitational
5 UNIT APTS,Mid Rise Apartments - 5-9 stories,Habitational
5 UNITS APT,Mid Rise Apartments - 5-9 stories,Habitational
5' x 10' ALUMINUM BUS SHELTER,Governmental Office & Administration,Govermental/Municipal
50' Steel Tower to support Communications Equipment,Telecoms - Transmission Towers,Communications
"50,000 above ground redwood water tank",Water Supply and Irrigation Systems,Utilities
"50,000 gallon above ground steel water tank",Water Supply and Irrigation Systems,Utilities
511: Mercantile - Sole Occupancy Only - Not Otherwise Classified - Low Susceptibility,Miscellaneous Retailers,Retail
"54,000 gallon water tank reservoir-above ground",Water Supply and Irrigation Systems,Utilities
55 MFG Homes/Specs,Single Family Dwellings,Habitational
55 Vehicles at $40k-Christmas parade,Auto Dealers,Retail
567: Mercantile - Sole Occupancy Only - Not Otherwise Classified - Moderate Susceptibility,Miscellaneous Retailers,Retail
6 APARTMENTS,Mid Rise Apartments - 5-9 stories,Habitational
6 Apartments with 2 Stores,Mid Rise Apartments - 5-9 stories,Habitational
6 Classroom Addition,Schools,Education
6 Classroom Building,Schools,Education
6 Classroom Wing Bldg,Schools,Education
6 Condo Units,Mid Rise Condos - 5-9 stories,Habitational
6 Double Classroom Modular Bldgs,Schools,Education
6 FAM DWELLING,Single Family Dwellings,Habitational
6 FAMILY,Single Family Dwellings,Habitational
6 family frame tenant occupied,Mid Rise Apartments - 5-9 stories,Habitational
6 FAMILY RENTAL,Mid Rise Apartments - 5-9 stories,Habitational
6 RENTAL UNITS,Mid Rise Apartments - 5-9 stories,Habitational
6 Science Lab Addition,Laboratories,Health Services
6 SLEEPING CABINS,Lodges and Clubs,Hotels/Casino/Entertainment
6 Unit Apartment Building,Mid Rise Apartments - 5-9 stories,Habitational
6 UNIT APARTMENTS,Mid Rise Apartments - 5-9 stories,Habitational
6 UNIT APAT,Mid Rise Apartments - 5-9 stories,Habitational
6 UNIT APT,Mid Rise Apartments - 5-9 stories,Habitational
6 UNIT APT BLDG,Mid Rise Apartments - 5-9 stories,Habitational
6 UNIT APTS,Mid Rise Apartments - 5-9 stories,Habitational
6 Unit Townhouse,Mid Rise Apartments - 5-9 stories,Habitational
6 UNITS APT,Mid Rise Apartments - 5-9 stories,Habitational
6 UNITS APTS,Mid Rise Apartments - 5-9 stories,Habitational
60K sq. ft. wet ingredients processing plant plus 5 rental houses/garages ,Single Family Dwellings,Habitational
6-UNIT APARTMENT,Mid Rise Apartments - 5-9 stories,Habitational
6-UNIT APT,Mid Rise Apartments - 5-9 stories,Habitational
6-UNIT APT BLDG,Mid Rise Apartments - 5-9 stories,Habitational
7 APARTMENTS,Mid Rise Apartments - 5-9 stories,Habitational
7 Bay Garage,Parking Garages,Light Industry
7 RENTAL UNITS,Mid Rise Apartments - 5-9 stories,Habitational
7 UNIT APART,Mid Rise Apartments - 5-9 stories,Habitational
7 UNIT APT,Mid Rise Apartments - 5-9 stories,Habitational
7 UNIT APTS,Mid Rise Apartments - 5-9 stories,Habitational
7 UNITS APARTMENT,Mid Rise Apartments - 5-9 stories,Habitational
702: Offices and Banks - Non-Governmental (incl Outpatient Health Care & Home Health Care Services),Outpatient Care Centers,Health Services
"74: Boarding and Lodging Houses, Rooming Houses, Fraternities and Sororities, Dormitories - Up to 10 Units",Lodges and Clubs,Hotels/Casino/Entertainment
745: Motels and Hotels without Restaurant - Up to 10 Units,Motels,Hotels/Casino/Entertainment
75 Foot Christmas Tree,Unknown,Unknown
"77: Convents, Monasteries and Rectories, Orphan Homes, Nurses' Homes, Sisters' Homes - Up to 10 Units","Church, Mosque or Synagogue",Religious/Churches
8 APARTMENTS,Mid Rise Apartments - 5-9 stories,Habitational
8 Classroom Addition,Schools,Education
8 Classroom Wing,Schools,Education
8 Clsrm Addition/Restrooms/Offices,Offices,Offices
8 CONDOS,Mid Rise Condos - 5-9 stories,Habitational
8 Golf Carts Rented for Festival,Golf Courses and Country Clubs,Hotels/Casino/Entertainment
8 UNIT APT,Mid Rise Apartments - 5-9 stories,Habitational
8 Unit Apts,Mid Rise Apartments - 5-9 stories,Habitational
8 UNIT CONDO ASSOCIATION,Mid Rise Condos - 5-9 stories,Habitational
8 UNIT CONDOASSOCIATION,Mid Rise Condos - 5-9 stories,Habitational
8 Units apt building,Mid Rise Apartments - 5-9 stories,Habitational
80 HOUSE,Single Family Dwellings,Habitational
832: Theaters Excluding Drive-in Theaters; Radio or TV Broadcasting Stations,Cinemas,Retail
"844: Recreational Facilities - NOC (Com'ty Centers, Youth Rec, Indoor Bleachers/Pools)",Fitness and Recreational Sports Centers,Hotels/Casino/Entertainment
"852: Health Care Facilities (Homes for aged, handicapped or orphaned; Mental-Psycopathic; Drug treatment)",Assisted Living,Health Services
8X20 Modular Office - MDI HQ Office,Offices,Offices
9 UNIT APAT,Mid Rise Apartments - 5-9 stories,Habitational
900: Churches and Synagogues,"Church, Mosque or Synagogue",Religious/Churches
921: Mausoleums and Light Hazard Service Occupancies,"Church, Mosque or Synagogue",Religious/Churches
923: Funeral Homes,Funeral Homes and Services,Retail
9-UNIT APT,Mid Rise Apartments - 5-9 stories,Habitational
A Loop electrical kiosk - utilities kiosk,T&D,Utilities
A&B Retail,Miscellaneous Retailers,Retail
AA Building - Meeting Hall,Rehabilitation Facility,Health Services
Abandoned dwelling,Single Family Dwellings,Habitational
Abandoned Well Station,Water Supply and Irrigation Systems,Utilities
ABC Daycare,Day Care,Health Services
"Above ground 10,000 gallon water tank at treatment site",Water Supply and Irrigation Systems,Utilities
"Above ground 50,000 gallon water tank reservoir....currently not in use",Water Supply and Irrigation Systems,Utilities
ABove ground 6500 gallon water reservoir tank,Water Supply and Irrigation Systems,Utilities
Above ground Glass Steel lined water tank reservoir,Water Supply and Irrigation Systems,Utilities
"Above ground redwood 10,000 gallon water supply",Water Supply and Irrigation Systems,Utilities
"Above ground redwood 100,000 gallon water reservoir",Water Supply and Irrigation Systems,Utilities
Above ground redwood 150000 gallon water supply,Water Supply and Irrigation Systems,Utilities
Above ground redwood 25000 gallon water supply,Water Supply and Irrigation Systems,Utilities
Above ground redwood 5000 gallon water supply,Water Supply and Irrigation Systems,Utilities
"Above ground redwood tank water supply reservoir 150,000 capacity",Water Supply and Irrigation Systems,Utilities
Above ground steel 130000 gallon water supply,Water Supply and Irrigation Systems,Utilities
Above ground steel 20000 gallon water supply,Water Supply and Irrigation Systems,Utilities
Above ground steel 55000 gallon water supply,Water Supply and Irrigation Systems,Utilities
Above ground steel welded water tank,Water Supply and Irrigation Systems,Utilities
Academic/computer Resource Ctr.,Schools,Education
Academy,Schools,Education
Access Medical South,Medical Office,Health Services
Accomodation,Single Family Dwellings,Habitational
ACCOUNTING BUILDING,Offices,Offices
Accounting Services,Offices,Offices
ACCOUNTS RECEIVABLES,Offices,Offices
Acctg/Admin,Offices,Offices
ACID MIXING TANK,Inorganic Chemical Manufacturing,Heavy Industry
ACID TANK,Inorganic Chemical Manufacturing,Heavy Industry
Action Pre-Fab Office,Offices,Offices
Activities Building,Fitness and Recreational Sports Centers,Hotels/Casino/Entertainment
Activity,Fitness and Recreational Sports Centers,Hotels/Casino/Entertainment
ACTIVITY BUILDING,Fitness and Recreational Sports Centers,Hotels/Casino/Entertainment
Activity Center by Pool,Fitness and Recreational Sports Centers,Hotels/Casino/Entertainment
Acute Care,Home Health Care Service,Health Services
Acute Care Hospital,Hospital,Health Services
Acute Care Services Hospitals,Hospital,Health Services
Addition to Hotel,Full-Service Hotel,Hotels/Casino/Entertainment
Adm Annex & Alt. School,Schools,Education
Admin Addition,Offices,Offices
ADMIN BUILDING,Offices,Offices
Admin Decon Bldg,Offices,Offices
Admin Dept,Offices,Offices
Admin Dept (inside Prev med clinic - only uses about 1000 sq feet of space),Fitness and Recreational Sports Centers,Hotels/Casino/Entertainment
Admin East Bldg,Offices,Offices
Admin office,Offices,Offices
Admin office subleased ,Offices,Offices
Admin Offices,Offices,Offices
Admin West Addition,Offices,Offices
"Admin, Public Restrooms",Offices,Offices
"Admin, Sales, Stocking, Service/Repair",Auto Repair Shop Garage,Retail
Admin.,Offices,Offices
Admin. Office Space and Parking,Offices,Offices
"Admin. Office, R&D, Federal Inspectors",Offices,Offices
Admin./classrooms,Schools,Education
Admin./Clrms,Offices,Offices
Admin./Media,Tv and Radio Stations,Communications
Admin./Media/Clrm,Tv and Radio Stations,Communications
Admin/ Program,Offices,Offices
Admin/Classrooms,Schools,Education
Admin/Clsrms/café,Restaurants - Not Fast Food,Retail
Admin/Ese Classrooms,Schools,Education
Admin/Gym*,Fitness and Recreational Sports Centers,Hotels/Casino/Entertainment
Admin/Library,Library,Govermental/Municipal
Admin/Library Bldg.,Library,Govermental/Municipal
Admin/Library/Classrooms,Library,Govermental/Municipal
Admin/Media/Clrm,Tv and Radio Stations,Communications
Admin/Office,Offices,Offices
Admin/Office/Storage,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Admin/Student Services/Classrooms,Mid Rise Student Housing - 5-9 stories,Habitational
Administration,Offices,Offices
ADMINISTRATION - CITY HALL,Governmental Office & Administration,Govermental/Municipal
ADMINISTRATION - CLASSROOM BUILDING,Schools,Education
Administration - Lab Building,Laboratories,Health Services
"Administration - VBSO
Evolent",Offices,Offices
Administration & support building,Offices,Offices
Administration Addition,Offices,Offices
Administration Addition Main Bldg,Offices,Offices
Administration and food services,Offices,Offices
Administration and showroom,Offices,Offices
Administration Bldg,Offices,Offices
"Administration Bldg (30,000)",Offices,Offices
Administration Bldg/Office,Offices,Offices
Administration building,Offices,Offices
ADMINISTRATION BUILDING - DALTON,Offices,Offices
