BAIC_or_BIC,ModifierName,Min,Max,Confidence,States_All,States_WA
baic,step_8_em,1.0,1.0,Fair,One or more turnovers of top management in the last 3 years; average experience of management <5 years; limited/insufficient formal management evaluation practices.,Average industry experience of management is less than 5 years. Turnover of management team greater than 50% but less than or equal to 75%.
baic,step_8_em,0.85,1.0,Good,Some turnovers in middle management in the last 3 years; average experience of management 5 – 10 years; sufficient formal management evaluation practices.,"A diversified management team in terms of areas of expertise, majority of executives have graduate level education, average number of years with the company greater than or equal to 5 but less than 10. Turnover of management team greater than 20% but less or equal to 50%."
baic,step_9_om,1.0,1.15,Poor,Greater than 30% board member turnover in the last 5 years; prevalent conflicts of interest; board members have marginal/questionable backgrounds.,Average industry experience of board of directors is less than 5 years and one or more may have been at the helm of previous businesses that have gone bankrupt or been subject to litigation.
baic,step_9_om,1.0,1.0,Fair,15 to 30% board member turnover in the last 5 years; minor potential conflicts of interest; board members have good backgrounds. ,Average industry experience of board of directors is less than 5 years.
baic,step_9_om,0.85,1.0,Good,Less than 15% of board member turnover in the last 5 years; no clear conflicts of interest; board members have good backgrounds.,"A diversified board of directors in terms of areas of expertise, majority of directors have graduate level education, average number of years with the company greater than or equal to 5 but less than 10."
baic,step_10_lm,0.85,1.0,Below Average,No litigation against company in the last 5 years.,No litigation against company in the last 5 years.
baic,step_10_lm,1.1,1.25,Average,Some litigation against company in the last 1 to 5 years; no significant litigation.,No current litigation in the last 12 months and none anticipated in the next 12 months.
baic,step_11_chm,0.72,1.0,Confident,No significant claims which would trigger coverage noticed or filed in the last 10+ years.,No D&O litigation in the past 5 years. No conditions which could lead to future D&O litigation.
baic,step_11_chm,1.0,1.0,Comfortable,No or few significant claims which would trigger coverage noticed or filed in the last 5-10 years.,No D&O litigation in the past 3 years. No current conditions which could lead to D&O litigation.
baic,step_11_chm,1.0,1.21,Low Concern,Single or multiple claims of low significance noticed or filed in the last 5 years.,"No current D&O litigation, but has filed notice of circumstances in the last 5 years."
baic,step_11_chm,1.21,1.44,Material Concern,"Significant claims, including multiple claims, which may generate loss coverage noticed or filed in the last 5 years.",1 current D&O claim in litigation or more than 3 notice of circumstances filed in the last 5 years.
baic,step_11_chm,1.44,1.82,High Concern,"Significant claims, including multiple claims and/or claims with payments paid or expected to-be-paid (exceeding the retention), in the last 10 years.",2 or more D&O cases currently being litigated.
baic,step_11_chm,1.82,2.4,Very High to Severe Concern,"Very significant, multiple, concerning, problematic or sizeable claims with payments paid or expected to-be-paid (exceeding the retention) in the last 10 years.",2 or more D&O cases currently being litigated and anticipated to have unfavorable outcomes.
baic,step_14_spm,1.0,1.15,High Volatility,One or more of the following: stock beta is 1.50 or greater; EPS exceeds industry average; stock appreciation >=25% in the last 12 months.,"Active trading, trades at a higher price on average than the prior 52-week period."
baic,step_14_spm,1.0,1.0,Stable,Stock beta is between 1.00 to 1.50; EPS in line with industry average; stock appreciation <25% in the last 12 months.,Trades in line with prior 52-week period.
baic,step_14_spm,0.85,1.0,Low Volatility,Stock beta is less than 1.00; EPS lower than industry average; stock appreciation <5% in the last 12 months.,"Limited trading, trades at a price that is a discount to prior 52-week period."
